section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_ans
React Engineer,Routing,Easy,How do you pass props to a route component in v6?,element prop takes JSX: element={<MyComp prop={val} />},component prop,props prop,render prop,A
React Engineer,Routing,Hard,What is the exact prop in React Router v5?,"Ensures route matches exactly, not just prefix",Not in v6,Optional in v6,Deprecated in v5,A
React Engineer,Routing,Hard,Is exact prop needed in React Router v6?,No — all routes match exactly by default,"Yes, always",Only for nested routes,Only for dynamic routes,A
React Engineer,Routing,Medium,What is a hash route (#/path)?,"Uses URL hash for routing, no server config needed",Uses history API,Requires server config,Only for anchors,A
React Engineer,Routing,Hard,What is MemoryRouter?,"Stores history in memory, useful for tests and non-browser envs",Browser router,Hash router,Static router,A
React Engineer,Routing,Hard,What is StaticRouter?,Router for server-side rendering with a static URL,Static site router,Test router,Memory router,A
React Engineer,Routing,Medium,What is the difference between Single Page App routing and Multi Page App routing?,SPA updates URL client-side without server; MPA makes server request,No difference,SPA needs server for each route,MPA is JavaScript,A
React Engineer,Routing,Medium,What is code splitting in relation to routing?,Loading route's JS bundle only when route is visited,Splitting CSS,Splitting state,Splitting components,A
React Engineer,Routing,Hard,What is the preload pattern for lazy routes?,Loading the component's chunk before user navigates there,Loading on demand,Prefetching data,Caching routes,A
React Engineer,Lifecycle,Easy,What are the three phases of a React component's lifecycle?,"Mounting, Updating, Unmounting","Init, Update, Destroy","Create, Render, Delete","Start, Run, End",A
React Engineer,Lifecycle,Easy,What is the mounting phase?,When component is created and inserted into the DOM,When component updates,When component is removed,When component errors,A
React Engineer,Lifecycle,Easy,componentDidMount runs:,After component mounts to the DOM,Before mounting,During rendering,Before rendering,A
React Engineer,Lifecycle,Medium,componentDidUpdate runs:,"After every update (state or prop change), not on initial render",After initial render only,Before updates,During rendering,A
React Engineer,Lifecycle,Easy,componentWillUnmount runs:,Just before component is removed from DOM,After unmounting,Before mounting,During update,A
React Engineer,Lifecycle,Medium,What is the equivalent of componentDidMount in hooks?,"useEffect(() => {...}, []) with empty array",useEffect with no array,useLayoutEffect always,componentMount(),A
React Engineer,Lifecycle,Medium,What is the equivalent of componentWillUnmount in hooks?,Return cleanup function from useEffect,Separate hook,useDestroy hook,useUnmount hook,A
React Engineer,Lifecycle,Medium,What is shouldComponentUpdate used for?,Optimize performance by skipping unnecessary re-renders,Force re-renders,Prevent mounting,Handle errors,A
React Engineer,Lifecycle,Medium,What is PureComponent?,Class component with built-in shallow comparison for shouldComponentUpdate,Component with no state,Functional component,Memoized component,A
React Engineer,Lifecycle,Medium,What is React.memo?,"HOC that memoizes functional component, re-renders only when props change",Memory manager,Memoization hook,Deep comparison,A
React Engineer,Lifecycle,Hard,What is getDerivedStateFromProps?,Static method updating state based on props before render,Instance method,Effect method,Ref method,A
React Engineer,Lifecycle,Hard,What is getSnapshotBeforeUpdate?,Captures information from DOM before it is updated,Gets initial snapshot,Captures state,Gets current props,A
React Engineer,Lifecycle,Hard,What is static getDerivedStateFromError?,Updates state to show error fallback UI when child throws,Logs errors,Re-mounts component,Shows console error,A
React Engineer,Lifecycle,Hard,What is componentDidCatch?,Catches errors in child components and logs them,Handles async errors,Catches network errors,Prevents rendering,A
React Engineer,Lifecycle,Medium,What is an Error Boundary?,Class component catching JavaScript errors in child tree,Try-catch in JSX,useErrorBoundary hook,Error state,A
React Engineer,Lifecycle,Hard,Why can't functional components be Error Boundaries?,Error Boundaries require class lifecycle methods (not yet in hooks),They can,Only in TypeScript,Only in v17,A
React Engineer,Lifecycle,Easy,What does the render method do in class components?,Returns JSX describing what the UI should look like,Updates the DOM,Mounts component,Fetches data,A
React Engineer,Lifecycle,Medium,What is the constructor in a class component used for?,Initialize state and bind event handlers,Render JSX,Mount component,Fetch data,A
React Engineer,Lifecycle,Medium,What is super(props) in a class component constructor?,"Calls parent class (React.Component) constructor, required before this.props",Optional call,Creates component,Initializes DOM,A
React Engineer,Lifecycle,Hard,What happens if you call setState in componentDidUpdate without a condition?,Infinite loop — it triggers another update,Nothing,One extra render,Error thrown,A
React Engineer,Lifecycle,Medium,What is the React lifecycle order on initial render?,constructor → render → componentDidMount,render → constructor → componentDidMount,componentDidMount → render → constructor,render → componentDidMount,A
React Engineer,Lifecycle,Medium,What triggers componentDidUpdate?,State change or prop change after initial render,Only state changes,Only prop changes,Every render including first,A
React Engineer,Lifecycle,Hard,What is the UNSAFE_ prefix on lifecycle methods?,Methods being deprecated due to problems in async rendering,Always safe methods,New lifecycle methods,Experimental methods,A
React Engineer,Lifecycle,Hard,What replaced componentWillMount?,Either constructor or componentDidMount (WillMount was unreliable),getDerivedStateFromProps,useEffect,useLayoutEffect,A
React Engineer,Lifecycle,Hard,What replaced componentWillReceiveProps?,getDerivedStateFromProps (but it's rare to need it),componentDidUpdate,useEffect with prop dep,Both B and C,D
React Engineer,Lifecycle,Hard,What replaced componentWillUpdate?,getSnapshotBeforeUpdate + componentDidUpdate,componentDidMount,getDerivedStateFromProps,useEffect,A
React Engineer,Lifecycle,Medium,In which lifecycle method should data fetching be done?,componentDidMount (or useEffect with []),componentWillMount,constructor,getDerivedStateFromProps,A
React Engineer,Lifecycle,Hard,What is the re-render lifecycle order?,render → getSnapshotBeforeUpdate → componentDidUpdate,componentWillUpdate → render → componentDidUpdate,render → componentDidUpdate → getSnapshotBeforeUpdate,shouldComponentUpdate → componentDidUpdate → render,A
React Engineer,Lifecycle,Hard,What does React.StrictMode do to lifecycle methods?,Double-invokes certain methods in development to detect side effects,Disables lifecycle methods,Adds new methods,Removes deprecated methods,A
React Engineer,Lifecycle,Easy,When is componentWillUnmount called for a conditional component?,When the condition becomes false and component is removed from tree,When component errors,When props change,When state resets,A
React Engineer,Lifecycle,Hard,What is the purpose of key prop in resetting lifecycle?,Changing key forces full unmount + remount of component,Helps performance,Identifies components,Required for hooks,A
React Engineer,Lifecycle,Hard,What is the fiber reconciler?,React's internal engine managing component tree updates and scheduling,CSS engine,DOM parser,Event system,A
React Engineer,Lifecycle,Hard,What is concurrent mode in React 18?,"React can interrupt, pause, and resume rendering for better responsiveness",Multi-threaded rendering,Parallel component instances,Background rendering,A
React Engineer,Lifecycle,Medium,What is Suspense for data fetching?,Component that shows fallback while children wait for async data,CSS loading indicator,Lazy component loader,Error handler,A
React Engineer,Lifecycle,Medium,What is the difference between Suspense and Error Boundary?,Suspense handles loading states; Error Boundary handles errors,Both handle errors,No difference,Suspense is for errors,A
React Engineer,Lifecycle,Hard,What is startTransition's effect on lifecycle?,Defers non-urgent renders to keep high-priority updates fast,Forces synchronous render,Adds lifecycle hooks,Cancels renders,A
React Engineer,Lifecycle,Hard,What is tearing in concurrent rendering?,UI showing inconsistent state because reads happen at different times,CSS rendering bug,State mutation issue,Event handling bug,A
React Engineer,Lifecycle,Hard,What is useDeferredValue's lifecycle implication?,Deferred value may lag behind actual value during transitions,Immediate synchronous update,Blocking update,Error boundary integration,A
React Engineer,Lifecycle,Hard,What is hydration in React?,Attaching event listeners and React state to server-rendered HTML,Downloading styles,Fetching data,Mounting components,A
React Engineer,Lifecycle,Hard,What is selective hydration?,Hydrating the most urgent parts of the page first,Full page hydration,Lazy hydration,Partial hydration,A
React Engineer,Lifecycle,Hard,What is streaming SSR?,Sending HTML in chunks as components are ready instead of all at once,Server-side caching,Client-side streaming,WebSocket SSR,A
React Engineer,Lifecycle,Hard,What is the Transition API's impact on rendering?,Non-urgent state updates are interruptible and can be deprioritized,Adds CSS transitions,Prevents renders,Forces batch renders,A
React Engineer,Lifecycle,Hard,What are React Server Components?,Components that render on server without shipping their JS to client,SSR components,Static components,Cached components,A
React Engineer,Lifecycle,Hard,What is the difference between RSC and SSR?,SSR renders to HTML string; RSC renders to a special React format with client interactivity,No difference,SSR is newer,RSC is client-only,A
React Engineer,Lifecycle,Medium,What happens when a parent re-renders?,All children re-render unless memoized,Only changed children,No children,Only useEffect runs,A
React Engineer,Lifecycle,Hard,What does React.memo's comparison function do?,Custom function to determine if re-render is needed (true = skip),Always re-renders,Always skips,Compares DOM,A
React Engineer,Lifecycle,Medium,What is reconciliation?,React's process of diffing virtual DOM to determine minimal DOM updates,Mounting process,Error handling,Event processing,A
React Engineer,Lifecycle,Easy,What is the virtual DOM?,Lightweight in-memory representation of the actual DOM,Real DOM copy,Shadow DOM,Web Component DOM,A
React Engineer,Lifecycle,Medium,What does React batch lifecycle updates for?,Performance — applying multiple state updates in one render pass,Security,Error handling,Memory management,A
React Engineer,Lifecycle,Hard,What is the commit phase in React's lifecycle?,Phase where React applies changes to the DOM,Render phase,Reconciliation phase,Scheduling phase,A
React Engineer,Redux,Easy,What problem does Redux solve?,Predictable state management for complex applications,Routing,Data fetching,CSS styling,A
React Engineer,Redux,Medium,What are Redux's three core principles?,"Single source of truth, state is read-only, changes via pure functions",Multiple stores allowed,State is mutable,Async reducers,A
React Engineer,Redux,Easy,What is a Redux action?,Plain object with a type field describing an event,Function updating state,Component method,Event listener,A
React Engineer,Redux,Easy,What is a Redux reducer?,"Pure function (state, action) => newState",Impure state mutator,Action creator,Middleware,A
React Engineer,Redux,Easy,What is the Redux store?,Holds the complete application state tree,Action collection,Component tree,Middleware stack,A
React Engineer,Redux,Easy,What does store.dispatch() do?,Sends an action to the store to trigger a state change,Gets state,Subscribes to store,Resets store,A
React Engineer,Redux,Easy,What does store.getState() do?,Returns the current state tree,Updates state,Dispatches action,Subscribes to changes,A
React Engineer,Redux,Medium,What does store.subscribe() do?,Registers a callback called after every state change,Dispatches action,Gets state,Unsubscribes,A
React Engineer,Redux,Medium,What is Redux middleware?,Code that intercepts dispatched actions before they reach reducer,Reducer wrapper,Action creator,State selector,A
React Engineer,Redux,Medium,What does applyMiddleware do?,Composes middleware into the store enhancer,Creates actions,Combines reducers,Initializes state,A
React Engineer,Redux,Medium,What is redux-thunk?,Middleware allowing action creators to return functions for async,For synchronous only,For routing,For selectors,A
React Engineer,Redux,Hard,What is redux-saga?,Middleware using generator functions to handle complex async flows,Simple async middleware,CSS-in-JS,State selector,A
React Engineer,Redux,Hard,What is a saga effect in redux-saga?,"Functions like call(), put(), take() describing async operations",Generator functions,State selectors,Action creators,A
React Engineer,Redux,Medium,What is Redux Toolkit (RTK)?,Official recommended toolset reducing Redux boilerplate,Third-party library,Redux for mobile,Old Redux API,A
React Engineer,Redux,Medium,What does configureStore from RTK do?,Creates store with thunk middleware and DevTools preconfigured,Only creates reducers,Only adds middleware,Only enables DevTools,A
React Engineer,Redux,Medium,What does createSlice from RTK do?,Generates action creators and reducer from a single config object,Creates the store,Only creates actions,Only creates reducers,A
React Engineer,Redux,Hard,What is the immer integration in RTK createSlice?,Allows writing mutating code in reducers that produces immutable updates,Manual immutability,No immutability,Async reducers,A
React Engineer,Redux,Hard,What is createAsyncThunk?,RTK utility creating thunks with pending/fulfilled/rejected actions,Sync thunk creator,Saga alternative,API client,A
React Engineer,Redux,Hard,What lifecycle actions does createAsyncThunk generate?,"pending, fulfilled, rejected","start, end, error","loading, loaded, failed","begin, complete, fail",A
React Engineer,Redux,Hard,What is RTK Query?,Data fetching and caching solution built into Redux Toolkit,React Query alternative (completely separate),REST API,GraphQL client,A
React Engineer,Redux,Hard,What is an endpoint in RTK Query?,Definition of a specific API call (query or mutation),Route definition,Reducer,Action,A
React Engineer,Redux,Medium,What is the difference between query and mutation in RTK Query?,"Query for reads, mutation for writes (POST/PUT/DELETE)",No difference,Queries can write,Mutations can read,A
React Engineer,Redux,Hard,What is cache invalidation in RTK Query?,Invalidating cached data to trigger refetch when related data changes,Clearing Redux store,Removing components,Resetting state,A
React Engineer,Redux,Hard,What is providesTags in RTK Query?,Defines what data a query result provides for cache invalidation,Provides metadata,JSX attributes,Middleware tags,A
React Engineer,Redux,Hard,What is invalidatesTags in RTK Query?,Tells RTK Query which cached data to refetch after a mutation,Validates data,Tags components,Logs actions,A
React Engineer,Redux,Easy,What is useSelector hook?,"Extracts specific data from Redux store, re-renders on data change",Dispatches actions,Gets entire store,Creates selectors,A
React Engineer,Redux,Hard,What is the equality check in useSelector?,Reference equality by default — new object === re-render,Deep equality,Always re-renders,Custom always,A
React Engineer,Redux,Hard,What is shallowEqual in react-redux?,Shallow comparison for useSelector to avoid unnecessary re-renders,Deep equal utility,Store initializer,Action creator,A
React Engineer,Redux,Easy,What is useDispatch hook?,Returns the dispatch function from Redux store,Gets state,Creates middleware,Subscribes to store,A
React Engineer,Redux,Easy,What is the Provider component in react-redux?,Makes Redux store available to all nested components via context,Routing provider,Theme provider,Auth provider,A
React Engineer,Redux,Hard,What is normalizeState in Redux?,Storing entities by ID in a flat structure to avoid nesting,Sorting state,Compressing state,Encrypting state,A
React Engineer,Redux,Hard,What is createEntityAdapter in RTK?,Provides CRUD operations and normalized state structure for collections,Creates store adapters,Adapts React components,Creates API adapters,A
React Engineer,Redux,Medium,What is the selector pattern?,Functions extracting derived data from Redux state,Action pattern,Reducer pattern,Middleware pattern,A
React Engineer,Redux,Hard,What is createSelector from Reselect?,Memoized selector recomputing only when inputs change,Non-memoized selector,Action creator,Reducer,A
React Engineer,Redux,Hard,What is the difference between Redux and Context?,"Redux has DevTools, middleware, immutability; Context is simpler",No difference,Context is always better,Redux is always needed,A
React Engineer,Redux,Medium,When should you NOT use Redux?,Simple apps with local state needs only,Always use Redux,Large apps only,When using TypeScript,A
React Engineer,Redux,Medium,What is the redux-persist library?,Persists Redux state to localStorage/sessionStorage across sessions,Persists actions,Logs Redux events,Encrypts state,A
React Engineer,Redux,Medium,What is the devtools enhancer in RTK?,Integrates Redux DevTools Extension for state/action inspection,Performance tool,Testing tool,Error handler,A
React Engineer,Redux,Hard,What is time-travel debugging in Redux?,Replaying actions to debug state changes using DevTools,Undo feature,Performance profiling,State snapshots,A
React Engineer,Redux,Hard,What is the redux-observable library?,Middleware using RxJS observables for async action streams,Simple middleware,saga alternative only,REST client,A
React Engineer,Redux,Hard,What is an epic in redux-observable?,Function taking and returning stream of actions via RxJS,Generator function,Async thunk,Saga effect,A
React Engineer,Redux,Hard,What is the flux standard action (FSA)?,"Convention for action objects: type, payload, error, meta",Redux requirement,RTK requirement,Optional pattern,A
React Engineer,Redux,Easy,What is an action payload?,Data carried by an action to the reducer,Action type,Action creator,Middleware,A
React Engineer,Redux,Hard,What is the command pattern in Redux actions?,Actions describe what should happen (imperative: ADD_TODO),Event pattern,Query pattern,Observer pattern,A
React Engineer,Redux,Hard,What is the event pattern in Redux actions?,Actions describe what happened (past tense: TODO_ADDED),Command pattern,Query pattern,CQRS pattern,A
React Engineer,Redux,Hard,What is CQRS in context of Redux?,Separating reads (selectors) from writes (actions/reducers),Database pattern only,REST pattern,GraphQL pattern,A
React Engineer,Redux,Medium,What is middleware composition in Redux?,Chaining multiple middlewares: logger → thunk → saga,Store composition,Reducer composition,Action composition,A
React Engineer,Redux,Hard,What is the enhancer argument to createStore?,Extends Redux with third-party capabilities (middleware),Reducer enhancer,Action enhancer,State enhancer,A
React Engineer,Redux,Hard,What is composeWithDevTools?,Composes store enhancers with Redux DevTools support,Logger only,Performance profiler,Error reporter,A
React Engineer,Redux,Medium,What is immutability important in Redux?,Enables reliable change detection and time-travel debugging,Not important,Only for performance,Only for testing,A
React Engineer,Redux,Medium,What is the downside of Redux?,Significant boilerplate code (reduced by RTK),No DevTools,No async support,No TypeScript support,A
React Engineer,Optimization,Easy,What is React.memo?,HOC preventing re-render if props haven't changed (shallow equality),Memory manager,Memoization hook,Deep prop comparison,A
React Engineer,Optimization,Easy,What does useMemo do?,"Memoizes expensive computed value, recomputes only on dependency change",Memoizes component,Memoizes function,Caches DOM,A
React Engineer,Optimization,Easy,What does useCallback do?,Memoizes function reference to prevent recreation on each render,Memoizes value,Memoizes component,Caches API response,A
React Engineer,Optimization,Medium,When should you use React.memo?,When component re-renders often with same props and render is expensive,Always,Never,Only for class components,A
React Engineer,Optimization,Medium,What is premature optimization?,Optimizing before identifying actual performance bottleneck,Optimizing early bottlenecks,Necessary optimization,Performance profiling,A
React Engineer,Optimization,Medium,What tool helps profile React performance?,React DevTools Profiler,Chrome Performance tab only,Node.js profiler,Lighthouse only,A
React Engineer,Optimization,Medium,What is code splitting?,Splitting JS bundle into smaller chunks loaded on demand,Splitting CSS,Splitting state,Splitting components into files,A
React Engineer,Optimization,Easy,What is lazy loading in React?,Loading components only when needed using React.lazy and Suspense,Preloading everything,Server-side loading,Static imports,A
React Engineer,Optimization,Hard,What is virtualization (windowing) in React?,Rendering only visible list items to improve performance of long lists,Loading all items,Caching items,Paginating items,A
React Engineer,Optimization,Hard,What library implements list virtualization?,react-virtual or react-window,react-paginate,react-infinite,react-list,A
React Engineer,Optimization,Medium,What is the cost of reconciliation?,CPU time diffing virtual DOM to determine minimal real DOM updates,Memory usage,Network calls,State size,A
React Engineer,Optimization,Medium,What is a performance bottleneck common in React?,Unnecessary re-renders caused by new object/function references,Too many hooks,Large state,Deep nesting,A
React Engineer,Optimization,Hard,What is the problem with creating objects in render?,New reference on every render can break React.memo and cause child re-renders,No problem,Slower rendering,Memory leak,A
React Engineer,Optimization,Medium,How do you solve new function reference in render?,useCallback to memoize the function,React.memo,useMemo,useRef,A
React Engineer,Optimization,Medium,How do you solve new object reference in render?,useMemo to memoize the object,useCallback,useRef,useState,A
React Engineer,Optimization,Medium,What is shouldComponentUpdate's role in optimization?,Returns false to skip re-render when props/state haven't changed meaningfully,Forces re-render,Handles errors,Logs performance,A
React Engineer,Optimization,Hard,What is the difference between React.memo and useMemo?,React.memo memoizes component; useMemo memoizes a value inside component,No difference,useMemo memoizes component,React.memo memoizes values,A
React Engineer,Optimization,Medium,What is tree shaking?,Removing unused exports from final bundle during build,Removing DOM nodes,Pruning component tree,Compressing images,A
React Engineer,Optimization,Medium,What is bundle analysis?,Examining bundle composition to identify large dependencies,Network analysis,State analysis,Component analysis,A
React Engineer,Optimization,Medium,What tool analyzes webpack bundle?,webpack-bundle-analyzer,React DevTools,Chrome DevTools,ESLint,A
React Engineer,Optimization,Easy,What is the purpose of production build?,"Minification, dead code elimination, and optimizations (no dev warnings)",Development mode,Testing mode,Debugging mode,A
React Engineer,Optimization,Hard,What is Long Tasks in web performance?,Tasks taking >50ms blocking the main thread,Network requests,CSS animations,Memory allocations,A
React Engineer,Optimization,Medium,What is Time to Interactive (TTI)?,Time until page is reliably interactive for user,First paint time,Total page load,Server response time,A
React Engineer,Optimization,Medium,What is First Contentful Paint (FCP)?,Time when first DOM content is rendered on screen,JS execution time,Total load time,Server response time,A
React Engineer,Optimization,Medium,What is Largest Contentful Paint (LCP)?,Time when largest visible element finishes rendering,First paint,Interactive time,Total load,A
React Engineer,Optimization,Medium,What is Cumulative Layout Shift (CLS)?,Measures unexpected visual layout shifts during page load,CPU usage,Memory usage,Network speed,A
React Engineer,Optimization,Hard,What is the purpose of React.Profiler component?,Measures rendering performance of its subtree,Error boundary,Code splitter,Lazy loader,A
React Engineer,Optimization,Hard,What is turbo mode in React DevTools Profiler?,Not a real feature — flame chart and ranked chart are actual views,Real feature,Advanced mode,Dark mode,A
React Engineer,Optimization,Medium,What is the impact of large component trees on performance?,More reconciliation work per render cycle,Faster rendering,Better performance,No impact,A
React Engineer,Optimization,Medium,What is the purpose of key prop optimization?,Stable keys prevent unnecessary unmount/remount of components,Creates new components,Identifies style,Required always,A
React Engineer,Optimization,Medium,What is event handler optimization?,Defining handlers with useCallback to avoid new references on render,Removing handlers,Async handlers,Global handlers,A
React Engineer,Optimization,Hard,What is context optimization?,Split contexts to reduce number of components re-rendering on change,Merging contexts,Global context,Provider nesting,A
React Engineer,Optimization,Hard,What is the problem with putting everything in one Context?,Any consumer re-renders when any part of context value changes,No problem,Better performance,Simpler code,A
React Engineer,Optimization,Hard,What is context selector pattern?,Using useMemo in provider or separate atoms to minimize re-renders,Not a real pattern,Same as useContext,Context provider pattern,A
React Engineer,Optimization,Medium,What is image optimization in React?,"Using lazy loading, WebP format, responsive images, and next/image",CSS optimization,State optimization,Bundle optimization,A
React Engineer,Optimization,Medium,What is font loading optimization?,Using font-display: swap and preloading critical fonts,Font size reduction,Font caching,System font usage,A
React Engineer,Optimization,Hard,What is progressive hydration?,"Hydrating high-priority components first, deferring less important ones",Full hydration,Partial hydration,Selective hydration,B
React Engineer,Optimization,Medium,What is server-side rendering's performance benefit?,Faster First Contentful Paint as HTML is ready before JS loads,No benefit,Faster JS execution,Smaller bundles,A
React Engineer,Optimization,Medium,What is static site generation's performance benefit?,"Pre-built HTML at build time, served from CDN with minimal TTFB",No benefit,Faster hydration,Smaller bundles,A
React Engineer,Optimization,Hard,What is incremental static regeneration (ISR)?,Next.js feature: regenerate static pages at runtime without full rebuild,Full rebuild method,Client-side rendering,Server-side only rendering,A
React Engineer,Optimization,Easy,What is the purpose of a CDN?,Serving static assets from geographically distributed servers for low latency,Data fetching,State management,Authentication,A
React Engineer,Optimization,Medium,What is resource preloading?,<link rel='preload'> to fetch critical resources early,Caching resources,Prefetching links,Lazy loading,A
React Engineer,Optimization,Medium,What is prefetching?,Loading resources for likely future navigations in advance,Current page loading,Asset caching,Critical resource loading,A
React Engineer,Optimization,Medium,What is service worker's role in performance?,Caching assets for offline use and faster repeat visits,Background data fetch,Push notifications only,Authentication,A
React Engineer,Optimization,Medium,What is memoizing API responses?,Caching API responses to avoid duplicate network requests,Response formatting,Error handling,Retry logic,A
React Engineer,Optimization,Hard,What is the React 18 concurrent rendering optimization?,Keeps UI responsive by breaking rendering into interruptible units,Multi-threading,Parallel renders,Background renders,A
React Engineer,Optimization,Hard,What is the useTransition optimization pattern?,Wrapping non-urgent updates to keep input and critical UI responsive,CSS transition,Animation optimization,Navigation optimization,A
React Engineer,Optimization,Hard,What is the purpose of React.StrictMode for optimization?,Identifies potential issues early (double-invokes to detect side effects),Improves production perf,Adds optimizations,Removes checks,A
React Engineer,Optimization,Medium,What is component state colocation?,Keeping state as close to where it is used as possible,Global state pattern,Lifting state up always,Redux pattern,A
React Engineer,Optimization,Hard,What is the render and commit phase optimization?,React batches DOM writes in commit phase to minimize DOM operations,Event batching,Effect batching,State batching,A
React Engineer,Optimization,Hard,What does React automatically optimize since version 19?,Automatic memoization with React Compiler (formerly Forget),Nothing,Routing,Data fetching,A
React Engineer,Testing,Easy,What is the most popular testing library for React?,React Testing Library (RTL),Enzyme,Jest alone,Mocha,A
React Engineer,Testing,Medium,What does React Testing Library encourage?,"Testing behavior from user's perspective, not implementation details",Testing internal state,Testing component methods,Testing render output directly,A
React Engineer,Testing,Easy,What is Jest?,"JavaScript testing framework with test runner, assertions, and mocks",Browser testing tool,E2E test tool,RTL alternative,A
React Engineer,Testing,Easy,What is the render() function in RTL?,Renders component into a DOM for testing,Server renders,Generates snapshots,Mounts without DOM,A
React Engineer,Testing,Easy,What is screen in RTL?,Object providing query methods to find rendered elements,Component container,Test screen,Debug output,A
React Engineer,Testing,Easy,What is getByText() in RTL?,Finds element by its visible text content,Finds by class,Finds by ID,Finds by role,A
React Engineer,Testing,Medium,What is getByRole() in RTL?,Finds element by its ARIA role (recommended approach),Finds by text,Finds by class,Finds by ID,A
React Engineer,Testing,Medium,What is the difference between getBy and queryBy?,getBy throws if not found; queryBy returns null,No difference,queryBy throws,getBy returns null,A
React Engineer,Testing,Medium,What is findBy in RTL?,Async query that waits for element to appear,Sync query,Strict query,Fuzzy query,A
React Engineer,Testing,Medium,What is waitFor in RTL?,"Waits until assertion passes, retrying automatically",Wait for events,Wait for render,Wait for load,A
React Engineer,Testing,Easy,What is a unit test?,Tests a single component or function in isolation,Tests full app,Tests integration,Tests user flows,A
React Engineer,Testing,Easy,What is an integration test?,Tests how multiple components work together,Tests one component,Tests the full app,Tests external APIs,A
React Engineer,Testing,Easy,What is an end-to-end (E2E) test?,Tests complete user flows through the real browser/app,Tests single unit,Tests component render,Tests API calls,A
React Engineer,Testing,Hard,What is the Testing Trophy?,"Most tests should be integration tests, fewer unit and E2E",Most unit tests,Equal distribution,Most E2E tests,A
React Engineer,Testing,Hard,What is the Testing Pyramid?,"More unit tests than integration, fewer E2E (opposite of trophy)",More E2E tests,Equal distribution,Only unit tests,A
React Engineer,Testing,Easy,What is a mock function in Jest?,"jest.fn() — tracks calls, arguments, and can return specified values",Real function copy,Component mock,API stub,A
React Engineer,Testing,Medium,What is jest.spyOn?,Creates a mock that also calls through to original implementation,Replaces function entirely,Only for class methods,Network spy,A
React Engineer,Testing,Medium,What is jest.mock()?,Automatically mocks an entire module,Mocks one function,Mocks component,Mocks API,A
React Engineer,Testing,Medium,What is a snapshot test?,Records component render output and alerts when it changes,Tests user behavior,Tests state,Tests async code,A
React Engineer,Testing,Hard,What is the downside of snapshot tests?,They break on intentional UI changes and become unmaintained,They are slow,They test nothing,They have no coverage,A
React Engineer,Testing,Medium,What is userEvent in RTL?,"Simulates real user interactions (clicks, typing) more accurately than fireEvent",Network mock,State updater,Async helper,A
React Engineer,Testing,Hard,What is the difference between fireEvent and userEvent?,userEvent simulates full browser user interaction; fireEvent dispatches a DOM event,No difference,userEvent is deprecated,fireEvent is better,A
React Engineer,Testing,Easy,What is a test coverage report?,Shows percentage of code exercised by tests,Test results,Pass/fail summary,Performance metrics,A
React Engineer,Testing,Hard,What is 100% code coverage a guarantee of?,Nothing — tests can pass with full coverage but miss important cases,Bug-free code,All edge cases covered,No regressions,A
React Engineer,Testing,Medium,What is the AAA pattern in testing?,"Arrange, Act, Assert — structure for organizing test code","API, Assert, Arrange","Action, Assertion, Async","Answer, Apply, Assert",A
React Engineer,Testing,Hard,What is a test double?,"Generic term for mocks, stubs, spies, and fakes used in testing",Production code copy,Test assertion,Coverage tool,A
React Engineer,Testing,Hard,What is the difference between stub and mock?,Stub provides canned responses; mock also verifies interactions,No difference,Mocks provide responses,Stubs verify interactions,A
React Engineer,Testing,Easy,What is Cypress?,E2E testing framework running tests in real browser,Unit test framework,React testing library,Visual testing tool,A
React Engineer,Testing,Medium,What is Playwright?,Microsoft's cross-browser E2E testing framework,React testing tool,CSS testing,API testing,A
React Engineer,Testing,Medium,What is Vitest?,Jest-compatible test runner optimized for Vite projects,E2E testing tool,Visual testing,Browser testing,A
React Engineer,Testing,Medium,What is test isolation?,Each test runs independently without side effects from other tests,Running tests together,Sharing test state,Sequential testing,A
React Engineer,Testing,Easy,What is beforeEach in Jest?,Runs setup code before each test in a describe block,Runs once before all,Runs after each,Runs at start of file,A
React Engineer,Testing,Easy,What is afterEach in Jest?,Runs cleanup code after each test,Runs after all,Runs before each,Runs at end of file,A
React Engineer,Testing,Easy,What is beforeAll in Jest?,Runs once before all tests in a describe block,Runs before each,Runs after all,Runs after each,A
React Engineer,Testing,Easy,What is describe in Jest?,Groups related tests together,Describes test results,Documents tests,Creates test suite,A
React Engineer,Testing,Easy,What is the it/test function in Jest?,Defines a single test case,Describes a group,Describes the test,Runs all tests,A
React Engineer,Testing,Medium,How do you test async code in Jest?,"Return a promise, use async/await, or use done callback",Use setTimeout,Use sync code only,Use promises only,A
React Engineer,Testing,Hard,What is msw (Mock Service Worker)?,Intercepts network requests in tests using service worker,CSS mock,Redux mock,Component mock,A
React Engineer,Testing,Hard,Why is testing implementation details bad?,Tests break on refactoring even when behavior is unchanged,It is recommended,Tests become faster,Coverage increases,A
React Engineer,Testing,Hard,What is a query priority in RTL?,Order of preference: role > label > placeholder > text > ID,Not a concept,DOM hierarchy,Render priority,A
React Engineer,Testing,Medium,What does ByLabelText query do?,Finds form element associated with label text,Finds text content,Finds by class,Finds by ID,A
React Engineer,Testing,Easy,What does ByPlaceholderText query do?,Finds input by its placeholder attribute,Finds by text,Finds by role,Finds by value,A
React Engineer,Testing,Medium,What is data-testid attribute?,Custom attribute for selecting test elements as last resort,RTL default,Required attribute,Performance hint,A
